Problem,Sampler,Radius,Time,NumSteps,Q,X0,X1
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.07708,1000,0.0023383281502818974,1.0007386014269963,1.0519142247493958
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.077416,1000,0.23346059650411702,1.0138229712756406,0.5992006676775762
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.07641,1000,0.4726945818262399,0.6722153385502425,1.483960307731377
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.076461,1000,0.3293577386061961,1.0433748945563692,0.6308980516032843
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.076473,1000,0.17694896088182835,0.9551192721733398,1.208699890167436
MinLeviFunctionNum13,PopulationSampler,15,0.343965,5000,0.0001742882016165012,1.000498569371995,1.0123832396819659
MinLeviFunctionNum13,PopulationSampler,15,0.345803,5000,1.0326073921197193e-05,0.9999566356033146,0.9968120113534096
MinLeviFunctionNum13,PopulationSampler,15,0.342289,5000,0.0015862481196325352,0.9958689016227824,1.0073572873861616
MinLeviFunctionNum13,PopulationSampler,15,0.34572,5000,0.0009379348752089108,1.0021950097032284,0.9771773196343512
MinLeviFunctionNum13,PopulationSampler,15,0.356701,5000,0.0004443708553039092,0.9996353318692123,0.9789290968692683
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.359558,5000,6.0974260671793656e-05,1.0007252172638181,1.003707047541188
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.355361,5000,5.5753994027905614e-05,1.000241034523311,1.007119481227614
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.354196,5000,0.00028915884821399863,0.9982894144759556,1.0051355900810013
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.350754,5000,0.00016566515252999962,0.998642168131321,0.9997542096295609
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,5,0.350944,5000,0.00011130992204174779,0.9989001733657292,1.001630389098182
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.356646,5000,5.511343538785046e-05,0.9996673221314909,1.0067299988846936
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.352347,5000,2.0742733685669648e-05,1.0000858640370542,1.0044837916969906
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.354386,5000,0.000513347630844286,1.0006552558976114,1.02210793775865
